Feature Type,Model,Accuracy,F1-Macro,Precision,Recall
Neural Network,CNN-LSTM,0.7810,0.7805,0.7821,0.7810
TF-IDF,LogisticRegression,0.7700,0.7697,0.7708,0.7700
TF-IDF,VotingClassifier,0.7000,0.6951,0.7118,0.6999
TF-IDF,DecisionTree,0.6690,0.6659,0.6703,0.6690
Word2Vec,LogisticRegression,0.4985,0.4981,0.4993,0.4985
Word2Vec,VotingClassifier,0.4430,0.4422,0.4497,0.4430
Word2Vec,DecisionTree,0.4345,0.4254,0.4468,0.4346
Word2Vec,KNN,0.4155,0.4170,0.4285,0.4155
TF-IDF,KNN,0.3830,0.3098,0.4777,0.3829
