Feature Type,Model,Accuracy,F1-Macro,Precision,Recall
Neural Network,CNN-LSTM,0.8250,0.8246,0.8300,0.8250
TF-IDF,LogisticRegression,0.7907,0.7902,0.7919,0.7907
TF-IDF,VotingClassifier,0.7127,0.7091,0.7301,0.7127
TF-IDF,DecisionTree,0.6700,0.6687,0.6702,0.6700
Word2Vec,LogisticRegression,0.5327,0.5323,0.5335,0.5327
Word2Vec,VotingClassifier,0.4823,0.4811,0.4871,0.4823
Word2Vec,KNN,0.4530,0.4535,0.4578,0.4530
Word2Vec,DecisionTree,0.4400,0.4385,0.4456,0.4400
TF-IDF,KNN,0.3920,0.3082,0.5323,0.3920
